vol_name,dice_aneur_kostas,recall_aneur_kostas,precision_aneur_kostas,dice_tm,recall_tm,precision_tm,mhd,dice_tm_single_UIA_class,mhd_single_UIA_class,recall_tm_single_UIA_class,precision_tm_single_UIA_class,dice_tm_untreated_aneurysm_only,recall_tm_untreated_aneurysm_only,precision_tm_untreated_aneurysm_only,mhd_untreated_aneurysm_only
10047B.nii.gz,0.753086447715759,0.603960394859314,1,0.721893489360809,0.603960394859314,1,0.560828789325786,0.721893489360809,0.560828789325786,0.603960394859314,1,0.721893489360809,0.603960394859314,1,0.560828789325786
10048B.nii.gz,0.864216029644013,0.760898292064667,1,0.789581894874573,0.760898292064667,1,0.273208959570367,0.789581894874573,0.273208959570367,0.760898292064667,1,0.789581894874573,0.760898292064667,1,0.273208959570367
10029.nii.gz,0.981210827827454,0.963114738464356,1,0.662905514240265,,,8.24725988179277,0.662905514240265,8.24725988179277,0.963114738464356,1,0.690161526203156,0.963114738464356,1,0.53433029706219
10024.nii.gz,0.96494847536087,0.9322709441185,1,0.717791438102722,0.9322709441185,1,0.462330487920852,0.717791438102722,0.462330487920852,0.9322709441185,1,0.717791438102722,0.9322709441185,1,0.462330487920852
10068F.nii.gz,0.946349322795868,0.898162305355072,1,0.779920220375061,,,1.88622266101018,0.779920220375061,1.88622266101018,0.898162305355072,1,0.794715464115143,0.898162305355072,1,0.576064677860501
10072F.nii.gz,0,0,1E-12,0,,,inf,0,inf,0,0,0,0,0,inf
10037.nii.gz,0,0,1E-12,0,0,0,inf,0,inf,0,0,0,0,0,inf
10068B.nii.gz,0.945504069328308,0.896640837192535,1,0.28856548666954,,,10.5792541423028,0.28856548666954,10.5792541423028,0.896640837192535,1,0.82619047164917,0.896640837192535,1,0.233995584988962
10072B.nii.gz,0,0,1E-12,0,,,37.6566642008512,0.018337769433856,37.6566642008512,0.0092537309974432,1,0,0,0,75.8658344566206
10047F.nii.gz,0.69523811340332,0.532846689224243,1,0.691943109035492,0.532846689224243,1,0.572109023894993,0.691943109035492,0.572109023894993,0.532846689224243,1,0.691943109035492,0.532846689224243,1,0.572109023894993
10015.nii.gz,1E-12,1E-12,1E-12,,,,inf,0,inf,0,0,0,0,0,inf
10049F.nii.gz,0.941600561141968,0.889645755290985,1,0.915206730365753,0.889645755290985,1,0.122546843309777,0.915206730365753,0.122546843309777,0.889645755290985,1,0.915206730365753,0.889645755290985,1,0.122546843309777
10028.nii.gz,0,0,1E-12,0,,,156.518530047784,0,156.518530047784,0,0,0,0,0,inf
10039.nii.gz,0.454689979553223,0.294238686561585,1,0.431372553110123,0.294238686561585,1,1.51269609654085,0.431372553110123,1.51269609654085,0.294238686561585,1,0.431372553110123,0.294238686561585,1,1.51269609654085
10035.nii.gz,0.973520278930664,0.94840669631958,1,0.73833429813385,0.94840669631958,1,0.546580814598081,0.73833429813385,0.546580814598081,0.94840669631958,1,0.73833429813385,0.94840669631958,1,0.546580814598081
10048F.nii.gz,0.862129151821137,0.757668733596802,1,0.806135773658752,0.757668733596802,1,0.387365650575909,0.806135773658752,0.387365650575909,0.757668733596802,1,0.806135773658752,0.757668733596802,1,0.387365650575909
10009.nii.gz,1E-12,1E-12,1E-12,,,,inf,0,inf,0,0,0,0,0,inf
10077B.nii.gz,0,0,1E-12,0.0222280342131853,,,35.311002639588,0.0222280342131853,35.311002639588,0.0346938781440258,1,0,0,0,inf
10060F.nii.gz,0,0,1E-12,0,,,72.2439349334826,0,72.2439349334826,0,0,0,0,0,3.0959067592521
10077F.nii.gz,0,0,1E-12,0.0264203418046236,,,47.4870141780001,0.0562177188694477,47.4870141780001,0.043444886803627,1,0,0,0,49.8673551548501
10010.nii.gz,1E-12,1E-12,1E-12,,,,inf,0,inf,0,0,0,0,0,inf
10060B.nii.gz,0,0,1E-12,0.01835772767663,,,15.5353295297372,0.01835772767663,15.5353295297372,0.00926853716373444,1,0,0,0,131.557727374136
10049B.nii.gz,0.828846156597138,0.707717597484589,1,0.807116091251373,0.707717597484589,1,0.463030066435092,0.807116091251373,0.463030066435092,0.707717597484589,1,0.807116091251373,0.707717597484589,1,0.463030066435092
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,0.420888635143638,0.642765378952026,0.9,21.6869949414845,0.368082949972671,21.6869949414845,0.403575334940916,0.695652173913044,0.388280123472214,0.399372681327488,0.521739130434783,16.6644944398089
